id,treatment,tofrom,value,role,resp,round,rounds,old
55,2,60,18,0,1,1,2,0
55,2,61,18,0,1,1,2,0
55,2,63,18,0,1,1,2,0
55,2,49,17,0,1,1,2,0
55,2,50,18,0,1,1,2,0
55,2,52,18,0,1,1,2,0
55,2,39,18,0,1,2,2,0
55,2,42,18,0,1,2,2,0
55,2,45,18,0,1,2,2,0
55,2,46,18,0,1,2,2,0
55,2,48,18,0,1,2,2,0
55,2,34,18,0,1,2,2,0
55,2,36,18,0,1,2,2,0
55,2,38,18,0,1,2,2,0
58,2,57,14.3000001907,0,1,1,2,0
58,2,60,14.6999998093,0,1,1,2,0
58,2,61,14.3999996185,0,1,1,2,0
58,2,63,14.6000003815,0,1,1,2,0
58,2,49,15,0,1,1,2,0
58,2,50,16.8999996185,0,1,1,2,0
58,2,52,15,0,1,1,2,0
58,2,56,14.8999996185,0,1,1,2,0
58,2,42,14,0,1,2,2,0
58,2,45,13.5,0,1,2,2,0
58,2,46,13.5,0,1,2,2,0
58,2,48,13.3999996185,0,1,2,2,0
58,2,34,13.3999996185,0,1,2,2,0
58,2,36,13.3999996185,0,1,2,2,0
58,2,38,13,0,0,2,2,0
58,2,39,14,0,1,2,2,0
59,2,60,20,0,1,1,2,0
59,2,61,20,0,1,1,2,0
59,2,63,20,0,1,1,2,0
59,2,49,20,0,1,1,2,0
59,2,50,20,0,1,1,2,0
59,2,52,20,0,1,1,2,0
59,2,56,20,0,1,1,2,0
59,2,57,20,0,1,1,2,0
59,2,45,20,0,1,2,2,0
59,2,46,20,0,1,2,2,0
59,2,48,20,0,1,2,2,0
59,2,34,20,0,1,2,2,0
59,2,36,20,0,1,2,2,0
59,2,38,20,0,1,2,2,0
59,2,39,20,0,1,2,2,0
59,2,42,20,0,1,2,2,0
62,2,61,15,0,1,1,2,0
62,2,63,15,0,1,1,2,0
62,2,49,20,0,1,1,2,0
62,2,50,20,0,1,1,2,0
62,2,52,20,0,1,1,2,0
62,2,56,25,0,1,1,2,0
62,2,57,25,0,1,1,2,0
62,2,60,20,0,1,1,2,0
62,2,46,13,0,1,2,2,0
62,2,48,13,0,1,2,2,0
62,2,34,15,0,1,2,2,0
62,2,36,15,0,1,2,2,0
62,2,38,15,0,1,2,2,0
62,2,39,20,0,1,2,2,0
62,2,42,20,0,1,2,2,0
62,2,45,15,0,1,2,2,0
64,2,63,15,0,1,1,2,0
64,2,49,15,0,1,1,2,0
64,2,50,15,0,1,1,2,0
64,2,52,15,0,1,1,2,0
64,2,56,15,0,1,1,2,0
64,2,57,15,0,1,1,2,0
64,2,60,15,0,1,1,2,0
64,2,61,15,0,1,1,2,0
64,2,48,10,0,1,2,2,0
64,2,34,10,0,1,2,2,0
64,2,36,10,0,1,2,2,0
64,2,38,10,0,0,2,2,0
64,2,39,10,0,1,2,2,0
64,2,42,10,0,1,2,2,0
64,2,45,10,0,1,2,2,0
64,2,46,10,0,1,2,2,0
65,3,68,15,0,1,1,2,0
65,3,70,17.5,0,1,1,2,0
65,3,71,20,0,1,1,2,0
65,3,72,22.3999996185,0,1,1,2,0
65,3,74,25,0,1,1,2,0
65,3,75,18.5,0,1,1,2,0
65,3,77,20.7000007629,0,1,1,2,0
